Description,Location,Number of Rooms,Price
1 Bedroom Flat For Rent,"                        Birmingham, West Midlands                    ",1,625.0
"4B Paddington Basin, London, W2","                        London, Greater London                    ",3,6000.0
"2 Bedroom Terraced House to Rent in Albert Road, London, SE25, SE25, 4JD | allAgents. Property id 3256739","                        London, Greater London                    ",2,1400.0
"1 Bedroom Apartment to Rent in Hill Street, Mayfair, W1J 5NU, Westminster, London, W1J, 5NU | allAgents. Property id 2846891","                        London, Greater London                    ",1,2817.0
"2 Bedroom Flat to Rent in Greystoke Court, Ealing, London, Acton Town, London, W5, 1EN | allAgents. Property id 2924789","                        London, Greater London                    ",2,1525.0
"3 Bedroom Terraced House to Rent in Castillon Road, London, SE6, SE6, 1QB | allAgents. Property id 3170605","                        London, Greater London                    ",3,346.0
"2 Bedroom Flat to Rent in Furness Road,Harlesden,NW10, NW10, 4QE | allAgents. Property id 1211075","                        London, Greater London                    ",2,2058.0
Icon Tower 8 Portal Way LONDON W3,"                        London, Greater London                    ",1,2000.0
apartment for rent in London,"                        London, Greater London                    ",1,2249.0
"2 Bedroom Apartment to Rent in Jamestown Way, London, Tower Hamlets, London, E14, 2DA | allAgents. Property id 2916948","                        London, Greater London                    ",2,1733.0
"2 Bedroom Apartment to Rent in Belvedere Row Apartments, Fountain Park Way, London, W12, Fountain Park Way, W12, 7JF | allAgents. Property id 3272224","                        London, Greater London                    ",2,2500.0
"1 Bedroom Flat to Rent in Hillsborough Court,Mortimer Crescent,Kilburn,NW6, NW6, 5NR | allAgents. Property id 1211071","                        London, Greater London                    ",1,1235.0
apartment for rent in London,"                        London, Greater London                    ",2,2578.0
"1 Bedroom Flat to Rent in Jardine Road, Wapping, E1W, London, E1W, 3WB | allAgents. Property id 2917541","                        London, Greater London                    ",1,1625.0
"4 Bedroom Semi Detached House to Rent in Wesley Close, London SE17, SE17, 3AX | allAgents. Property id 3045770","                        London, Greater London                    ",4,3389.0
apartment for rent in London,"                        London, Greater London                    ",3,3497.0
"2 Bedroom Apartment to Rent in Hertford Street, Mayfair, W1J 7RZ, Westminster, London, W1J, 7RZ | allAgents. Property id 2846933","                        London, Greater London                    ",2,10833.0
"3 Bedroom Terraced House to Rent in Elizabeth Road, London, E6, Beckton, London, E6, 1BW | allAgents. Property id 2915067","                        London, Greater London                    ",3,1800.0
"1 Bedroom Flat to Rent in Baker Street, Marylebone, W1U 3DP, Westminster, London, W1U, 3DP | allAgents. Property id 2846870","                        London, Greater London                    ",1,2167.0
"2 Bedroom Flat to Rent in St John's Building, Marsham Street, SW1P, 4SB | allAgents. Property id 3403719","                        London, Greater London                    ",2,3750.0
"2 Bedroom Apartment to Rent in New Providence Wharf, Canary Wharf, E14, Tower Hamlets, London, E14, 9PF | allAgents. Property id 2917513","                        London, Greater London                    ",2,2167.0
"4 Bedroom Terraced House to Rent in Crowline Walk, London, N1, N1, 2UN | allAgents. Property id 3045966","                        London, Greater London                    ",4,540.0
apartment for rent in London,"                        London, Greater London                    ",2,3597.0
apartment for rent in London,"                        London, Greater London                    ",2,5200.0
"1 Bedroom Apartment to Rent in 1 Bedroom Warehouse Conversion in Holloway, N7, 6LJ | allAgents. Property id 2977089","                        London, Greater London                    ",1,1408.0
"3 Bedroom Detached House to Rent in Cranworth Gardens, Oval, SW9, Oval, London, SW9, 0NS | allAgents. Property id 1790012","                        London, Greater London                    ",3,2383.0
"2 Bedroom Apartment to Rent in Merchant Square, Paddington, W2 1AJ, Bayswater Road, London, W2, 1AJ | allAgents. Property id 2846779","                        London, Greater London                    ",2,3250.0
house share to rent,"                        London, Greater London                    ",1,1100.0
6 Bed House Albert Edward Road Liverpool L7 ARW Property Solutions,"                        Liverpool, Merseyside                    ",6,1904.0
